,0
2,Halflife: 10.0 10_minute
0,Augmented Dickey Fuller: NO unit root
1,mean reverting
2,Halflife: 4.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 6.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 9.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 11.0 10_minute
0,Augmented Dickey Fuller: NO unit root
1,mean reverting
2,Halflife: 4.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 6.0 10_minute
0,Augmented Dickey Fuller: NO unit root
1,mean reverting
2,Halflife: 4.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 6.0 10_minute
0,Augmented Dickey Fuller: NO unit root
1,mean reverting
2,Halflife: 4.0 10_minute
0,Augmented Dickey Fuller: NO unit root
1,mean reverting
2,Halflife: 3.0 10_minute
0,Augmented Dickey Fuller: NO unit root
1,mean reverting
2,Halflife: 5.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 9.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 4.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 6.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 6.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 25.0 10_minute
0,Augmented Dickey Fuller: NO unit root
1,mean reverting
2,Halflife: 2.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 7.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 5.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 8.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 8.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 6.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 5.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 3.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 10.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 5.0 10_minute
0,Augmented Dickey Fuller: NO unit root
1,mean reverting
2,Halflife: 10.0 10_minute
0,Augmented Dickey Fuller: NO unit root
1,mean reverting
2,Halflife: 4.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 5.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 2.0 10_minute
0,Augmented Dickey Fuller: NO unit root
1,mean reverting
2,Halflife: 6.0 10_minute
0,Augmented Dickey Fuller: NO unit root
1,mean reverting
2,Halflife: 3.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 6.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 6.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 4.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 6.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 7.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 5.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 6.0 10_minute
0,Augmented Dickey Fuller: NO unit root
1,mean reverting
2,Halflife: 4.0 10_minute
0,Augmented Dickey Fuller: NO unit root
1,mean reverting
2,Halflife: 8.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 8.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 9.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 5.0 10_minute
0,Augmented Dickey Fuller: NO unit root
1,mean reverting
2,Halflife: 4.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 6.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 8.0 10_minute
0,Augmented Dickey Fuller: NO unit root
1,mean reverting
2,Halflife: 8.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 7.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 8.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 5.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 4.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 7.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 5.0 10_minute
0,Augmented Dickey Fuller: NO unit root
1,mean reverting
2,Halflife: 3.0 10_minute
0,Augmented Dickey Fuller: NO unit root
1,mean reverting
2,Halflife: 3.0 10_minute
0,Augmented Dickey Fuller: NO unit root
1,mean reverting
2,Halflife: 4.0 10_minute
0,Augmented Dickey Fuller: NO unit root
1,mean reverting
2,Halflife: 22.0 10_minute
0,Augmented Dickey Fuller: NO unit root
1,mean reverting
2,Halflife: 7.0 10_minute
0,Augmented Dickey Fuller: NO unit root
1,mean reverting
2,Halflife: 3.0 10_minute
0,Augmented Dickey Fuller: unit root
1,mean reverting
2,Halflife: 6.0 10_minute
0,Augmented Dickey Fuller: NO unit root
1,mean reverting
2,Halflife: 5.0 10_minute
